[検索条件]従業員数：10~20・20~50・50~300.設立年数：11~30.業態：BtoB・BtoC.業界：IT業界の会社・Webサービス・アプリ運営業界の会社.小売業界の会社・自社型eコマース業界の会社.地域：東京都
会社名,会社名ひらがな,代表者名,会社サイト,お問い合わせページ,法人番号,設立年月,役員情報,上場種別,資本金,売上高,事業所数,従業員数,工場数,店舗数,決算月,一言説明,メイン大業界,メイン小業界,サブ大業界,サブ小業界,事業内容キーワード,特徴,マッチ度,本社住所,本社郵便番号,本社住所（都道府県のみ）,本社住所（都道府県除く）,本社電話番号,本社FAX番号,本社メールアドレス,採用メールアドレス
株式会社Ｊストリーム,じぇいすとりーむ,石松俊雄,http://www.stream.co.jp/,https://page.stream.co.jp/service_inquiry.html,4010401089388,1997年5月,"岩木六馬[監査役],  曽山誠[監査役],  諏訪原敦彦[監査役],  保住博史[常勤監査役],  宮野隆[取締役],  山田浩喜[取締役],  宮澤範充[取締役],  井上博文[取締役],  下總邦雄[取締役],  三山悟[取締役副社長],  石松俊雄[代表取締役社長],  白石清[取締役会長], ",東証マザーズ,2182370000,5251347000,4,268,-,-,3月,インターネットを通じ映像・音声コンテンツの配信を行う会社,IT業界の会社,Webサービス・アプリ運営業界の会社,その他サービス業界の会社・IT業界の会社・エンタメ業界の会社・コンサルティング業界の会社,その他レンタル・リース業界の会社・情報セキュリティサービス業界の会社・映像・CM制作業界の会社・ソフトウェア専門商社業界の会社・Webマーケティング業界の会社・ITコンサルティング業界の会社 ・デジタルコンテンツ業界の会社・Web制作業界の会社,動画制作・撮影スタジオ運営・ネットワーク構築・ソフトウェア販売・ライブ配信サービス運営・Webコンサルティング・システム導入支援・Webメディア運営・Webマーケティング支援・音響機器レンタル・リース・Webサイト運営代行・動画配信サービス運営・セミナー運営,BtoB,未計算,東京都港区芝２丁目５番６号,105-0014,東京都,港区芝２丁目５番６号,03-5765-7000,03-5765-3520,-,saiyou@stream.co.jp
クラシス株式会社,くらしす,佐野嘉彦,http://www.krasys.co.jp,https://www.krasys.co.jp/contact/,9010001015137,1996年9月,-,未上場,50000000,-,10,264,-,-,-,医療、福祉分野に特化した求人サイトの運営や人材派遣を行う会社,人材業界の会社,医療・福祉人材派遣業界の会社,IT業界の会社,Webサービス・アプリ運営業界の会社,就職支援・医師紹介・福祉人材紹介・求人サイト運営・薬剤師紹介・介護人材紹介・医療人材育成・医療人材紹介・介護士紹介・転職支援・看護師紹介,BtoB　BtoC,未計算,東京都千代田区神田駿河台２丁目２番地,101-0062,東京都,千代田区神田駿河台２丁目２番地,03-5217-3666,03-5217-3660,-,-
株式会社ＭＯＡ,もあ,金南亨,https://www.moa-corp.com/,https://www.moa-corp.com/contact,5010601036742,2004年7月,-,未上場,100000000,32300000000,1,263,1,-,-,総合通販サイト「PREMOA」の運営を手掛ける会社,小売業界の会社,自社型eコマース業界の会社,電気製品業界の会社・生活用品業界の会社,その他電気製品製造業界の会社・日用品・雑貨販売業界の会社,家電販売・酒類販売・スポーツ用品販売・日用品販売,BtoC,未計算,東京都江東区南砂２丁目７番５号,136-0076,東京都,江東区南砂２丁目７番５号,03-5633-8817,03-5633-7933,-,saiyou@premoa.co.jp
株式会社ポケモン,ぽけもん,石原恒和,http://www.pokemon.co.jp/,https://www.pokemon.jp/form_app/inquiry/pokemon/,1010401079276,1998年4月,-,未上場,365400000,-,1,262,-,-,-,「ポケモン」のゲームやアニメやグッズをプロデュースする会社,ゲーム業界の会社,ゲームソフト開発業界の会社,エンタメ業界の会社・IT業界の会社,映画・アニメ業界の会社・イベント業界の会社・Webサービス・アプリ運営業界の会社・タレント・キャラクターグッズ業界の会社,グッズ制作・家庭用ゲームソフト開発・映画制作・カードゲーム販売・著作権管理・ゲームイラスト制作・キャラクター制作・カードゲーム開発・アニメ制作・キャラクター製品製造・キャラクター製品販売・キャラクターライセンス販売・オンラインゲーム運営・イベント企画,BtoB　BtoC,未計算,東京都港区六本木６丁目１０番１号,106-0032,東京都,港区六本木６丁目１０番１号,0120-049-725,-,-,recruit@pokemon.to-entry.jp
株式会社日本通信サービス,にほんつうしんさーびす,金島俊行,http://www.ncs-co.jp/intro.html,http://www.ncs-co.jp/#contact,9030001043648,2008年,-,未上場,50000000,-,6,261,-,-,-,通信インフラ環境のコンサルティングなどを行う会社,コンサルティング業界の会社,ITコンサルティング業界の会社 ,人材業界の会社・IT業界の会社・アパレル・美容業界の会社,その他人材業界の会社・Webサービス・アプリ運営業界の会社・ITインフラ業界の会社・システム受託開発業界の会社・美容サロン業界の会社,不動産情報サイト運営・美容室・ヘアサロン運営・通信コンサルティング・集金代行・ネットワーク構築・業務システム運用支援,BtoC　BtoB,未計算,東京都港区麻布台1-7-3VORT神谷町Ⅱ 7F,106-0041,東京都,港区麻布台1-7-3VORT神谷町Ⅱ 7F,03-4531-1177,03-6888-1749,info@ncs-co.jp,-
株式会社エス・エス・イー,えす・えす・いー,古寺真一朗,-,-,2011101028613,1999年10月,-,未上場,205000000,-,1,260,-,-,6月,調剤薬局向け在庫流通サイト「YakuYaku」の開発および運営を行う会社,IT業界の会社,Webサービス・アプリ運営業界の会社,未分類,未分類,-,BtoB,未計算,東京都新宿区西新宿２丁目６番１号新宿住友ビル,160-0023,東京都,新宿区西新宿２丁目６番１号新宿住友ビル,-,03-5339-1939,info-pr@sse.ne.jp,-
株式会社アンビション,あんびしょん,福島公則,http://www.ambition.ne.jp/,http://www.ambition.ne.jp/inquire.php,2013301021884,2005年4月,-,未上場,40000000,-,2,258,-,-,-,ゲームコンテンツの企画や開発、制作および運営を手掛ける会社,ゲーム業界の会社,ゲームソフト開発業界の会社,IT業界の会社,Webサービス・アプリ運営業界の会社,-,BtoC　BtoB,未計算,東京都豊島区東池袋３丁目４－３,170-0013,東京都,豊島区東池袋３丁目４－３,03-5960-0575,03-5960-0576,info@ambition.ne.jp,-
株式会社アスク,あすく,泉澤豊,http://www.asq-fs.co.jp/,https://asq-fs.sakura.ne.jp/inquiry/,1010401090191,1997年6月,-,未上場,157000000,6019000000,4,258,-,-,-,マンションコンシェルジュ事業や人材派遣事業などを行っている会社,人材業界の会社,その他業務請負業界の会社,人材業界の会社・IT業界の会社,人材紹介業界の会社・Webサービス・アプリ運営業界の会社・事務員・作業員派遣業界の会社,マンション管理・イベント企画・買物代行・販売員派遣・紹介予定派遣,BtoB,未計算,東京都中央区銀座８丁目１４番１４号,104-0061,東京都,中央区銀座８丁目１４番１４号,03-6775-3972,-,-,-
株式会社メディカルリソース,めでぃかるりそーす,三津原博,https://www.medical-res.co.jp/,https://www.medical-res.co.jp/contact/,7010001067790,2000年2月,-,未上場,93000000,-,16,255,-,-,-,医療従事者の求人サイトや情報サイトの運営を行っている会社,人材業界の会社,人材紹介業界の会社,人材業界の会社・IT業界の会社,医療・福祉人材派遣業界の会社・Webサービス・アプリ運営業界の会社,理学療法士紹介・薬剤師紹介・求人サイト運営・医療情報提供・転職支援・作業療法士紹介・紹介予定派遣・薬剤師派遣・就職支援・医師紹介・求人情報提供・看護師紹介,BtoB　BtoC,未計算,東京都千代田区丸の内1-9-1　グラントウキョウノースタワー40階,100-6740,東京都,千代田区丸の内1-9-1　グラントウキョウノースタワー40階,03-3212-5580,03-3212-5581,compliance-toi@nicho.co.jp,saiyoteam@nicho.co.jp
日本リージャスホールディングス株式会社,にほんりーじゃすほーるでぃんぐす,西岡真吾,https://www.regus-office.jp/,https://www.regus-office.jp/enquiry/,1011101064634,1998年9月,-,未上場,-,-,1,250,-,-,-,日本国内で100拠点を越えるレンタルオフィスを展開する会社,不動産業界の会社,事業用物件・テナントビル賃貸業界の会社,小売業界の会社,自社型eコマース業界の会社,レンタルオフィス・コワーキングスペース運営,BtoB,未計算,東京都新宿区西新宿３丁目７番１号新宿パークタワー３０階,160-0023,東京都,新宿区西新宿３丁目７番１号新宿パークタワー３０階,0120-965-412,-,-,-
株式会社ＥＹＳ‐ＳＴＹＬＥ,いーわいえす-すたいる,吉岡秀和,http://www.eys-style.com/,http://www.eys-style.com/contact,8010401076374,2008年,-,未上場,366560000,-,16,250,-,-,-,音楽教室や楽器通販サイト「Otolier」の運営などを行っている会社,教育業界,その他スクール業界の会社,IT業界の会社・その他サービス業界の会社,Webサービス・アプリ運営業界の会社・デザイン業界の会社,音楽スタジオ運営,BtoC,未計算,東京都中央区銀座１丁目１５－４,104-0061,東京都,中央区銀座１丁目１５－４,03-5524-0181,-,-,-
フェンディ・ジャパン株式会社,ふぇんでぃ・じゃぱん,ベアトリーチェ・モングイディ,-,-,4010401114947,2001年2月,-,未上場,120000000,-,1,250,-,37,-,ラグジュアリーブランド「フェンディ」の衣類や鞄の輸入や販売を行う会社,小売業界の会社,レディースアパレルショップ業界の会社,小売業界の会社,自社型eコマース業界の会社,アクセサリー輸入・靴販売・ジュエリー販売・雑貨輸入,BtoC,未計算,東京都千代田区平河町２丁目１番１号,102-0093,東京都,千代田区平河町２丁目１番１号,03-3514-6187,-,-,-
株式会社エクスラント,えくすらんと,飯島勇人,https://www.exrant.co.jp/,https://www.exrant.co.jp/contact_us/form/,2010001134975,2003年12月,-,未上場,10000000,-,2,248,-,-,-,インターネット写真販売や、Webマーケティング事業を行う会社,IT業界の会社,Webサービス・アプリ運営業界の会社,広告業界の会社,インターネット広告代理店業界の会社,Webマーケティング支援・SEO対策・求人サイト運営・Webシステム開発,BtoB　BtoC,未計算,東京都千代田区内幸町１丁目１番７号,100-0011,東京都,千代田区内幸町１丁目１番７号,03-3539-1761,03-3539-1762,-,-
株式会社イデアインターナショナル,いであいんたーなしょなる,森正人,http://idea-in.com/,https://idea-in.com/?pg=inquiry_reg&wm=IR,7010401037344,1995年11月,-,JASDAQ,1509755697,10062000000,1,246,1,45,6月,インテリア雑貨やトラベルグッズ、オーガニック化粧品の企画および販売を手掛ける会社,生活用品業界の会社,日用品・雑貨販売業界の会社,小売業界の会社,モール型eコマース業界の会社・自社型eコマース業界の会社・化粧品販売業界の会社,スキンケア用品販売・オーガニック化粧品販売・輸入雑貨卸売・化粧品販売・オフィス用品・事務用品販売・雑貨デザイン・キッチン用品卸売・加湿器販売・雑貨卸売・キッチン用品製造・かばん・バッグ卸売・スピーカー販売・エプロン卸売・雑貨輸入・食器販売・キッチン用品販売・生活雑貨販売・加湿器卸売・ファッション雑貨卸売・スマホ周辺機器・スマホアクセサリー販売・雑貨企画・雑貨店運営・エプロン販売・インテリア製品販売・スピーカー卸売・かばん・バッグ販売・ファッション雑貨販売・インテリア雑貨卸売・オフィス用品・事務用品卸売・インテリア製品卸売・インテリア雑貨販売・食器卸売・スマホ周辺機器・スマホアクセサリー卸売・生活雑貨卸売,BtoB　BtoC,未計算,東京都港区芝５丁目１３番１８号いちご三田ビル３階,108-0014,東京都,港区芝５丁目１３番１８号いちご三田ビル３階,03-5446-9505,-,-,-
株式会社ブイキューブ,ぶいきゅーぶ,間下直晃,https://jp.vcube.com/,https://lp.vcube.com/inquiry-form.html?_ga=2.32368635.414226476.1494987545-436176401.1494987506,8013201010775,1998年10月,-,東証１部,2844953862,5924816000,4,244,-,-,12月,Web会議サービス「V-CUBE ミーティング」などのコミュニケーションサービスを提供する会社,IT業界の会社,クラウド・フィンテック業界の会社,生活用品業界の会社・電気製品業界の会社・その他サービス業界の会社・IT業界の会社,オフィス用品・オフィス家具業界の会社・音響・映像機器業界の会社・オフィス用品レンタル・リース業界の会社・Webサービス・アプリ運営業界の会社,ライブ配信サービス運営・カメラ卸売・オフィス家具卸売・音響機器卸売・マイク卸売・ビデオ会議システム開発・クラウドサービス提供・クラウド開発,BtoB,未計算,東京都港区白金１丁目１７番３号,108-0072,東京都,港区白金１丁目１７番３号,03-5475-7250,03-6866-5601,-,-
株式会社イー・ビジネス,いーびじねす,花東江,https://www.e-business.co.jp/,https://www.e-business.co.jp/#contact-us,2010001110043,2007年6月,-,未上場,88000000,3479000000,2,240,-,-,-,システム開発やシステムソリューション及びイノベーション事業を行う会社,IT業界の会社,システム開発業界の会社,IT業界の会社,Webサービス・アプリ運営業界の会社,Webシステム開発・ネットワーク構築,BtoB,未計算,東京都港区芝２丁目２８－８芝２丁目ビル１０Ｆ,105-0014,東京都,港区芝２丁目２８－８芝２丁目ビル１０Ｆ,03-6809-3235,03-6809-3238,info@e-business.co.jp,-
株式会社ジェイ・スポーツ,じぇい・すぽーつ,木下伸,https://www.jsports.co.jp/,-,4010601024814,1996年9月,-,未上場,3800000000,-,1,240,-,-,-,スポーツチャンネルの放送・番組供給を行う会社,マスコミ業界の会社,テレビ・ラジオ放送局業界の会社,マスコミ業界の会社・生活用品業界の会社・小売業界の会社,テレビ番組制作業界の会社・スポーツ用品製造業界の会社・自社型eコマース業界の会社,グッズ制作・衛星放送局（BS・CS放送局）運営・スポーツウェア製造・スポーツウェア販売,BtoC,未計算,東京都江東区青海２丁目４番２４号,135-0064,東京都,江東区青海２丁目４番２４号,03-5500-3488,-,-,-
株式会社楽電,らくでん,永富聡,http://www.raku-den.net,http://www.raku-den.net/page-30.html,1013301025993,2008年6月,-,未上場,20000000,-,1,238,1,-,-,オンラインショップ「ラクデン」にて家電製品などの卸売を行う会社,電気製品業界の会社,その他電気製品製造業界の会社,小売業界の会社,モール型eコマース業界の会社・自社型eコマース業界の会社,カー用品・カーアクセサリー卸売・パソコン卸売・冷蔵庫卸売・照明機器卸売・カメラ卸売・家電卸売,BtoB　BtoC,未計算,東京都豊島区東池袋３丁目１３番７号,170-0013,東京都,豊島区東池袋３丁目１３番７号,03-3988-6789,03-3988-6868,ec-staff@raku-den.net,-
ＳＢＩホールディングス株式会社,えすびーあいほーるでぃんぐす,北尾吉孝,http://www.sbigroup.co.jp/,https://www.sbigroup.co.jp/contact/,6010401045208,1999年7月,-,東証１部,92018000000,27330000000,1,224,-,-,3月,企業投資・ネット証券など金融サービスを主力とする会社,金融業界の会社,証券業界の会社,金融業界の会社・アパレル・美容業界の会社・食品業界の会社・医療・福祉業界の会社・コンサルティング業界の会社・小売業界の会社,クレジット・信販・決済代行業界の会社・化粧品製造業界の会社・銀行・信用金庫・信用組合業界の会社・保険業界の会社・健康食品業界の会社・製薬業界の会社・投資業界の会社・経営コンサルティング業界の会社・自社型eコマース業界の会社,損害保険システム開発・がん保険販売・医薬品卸売・損害保険販売・自動車保険販売・化粧品開発・外国為替証拠金取引（FX）・健康食品開発・投資セミナー運営・傷害保険販売・サプリメント開発・生命保険システム開発・地震保険販売・火災保険販売・生命保険販売・ベンチャー投資・サプリメント製造・投資信託運用・住宅ローン相談・医薬品製造・国際送金サービス提供・ネット銀行運営・健康食品製造・保険コンサルティング・化粧品販売・医薬品開発・健康食品販売・サプリメント販売・クレジットカード発行,BtoB　BtoC,未計算,東京都港区六本木１丁目６番１号,106-0032,東京都,港区六本木１丁目６番１号,03-6229-0100,03-3589-7958,-,sbi-recruit@sbigroup.co.jp
株式会社アイモバイル,あいもばいる,野口哲也,https://www.i-mobile.co.jp/,https://www.i-mobile.co.jp/inquiry.html,4011001059087,2007年8月,-,東証１部,129000000,12735692000,4,221,-,-,7月,アドネットワークサービス「i-mobile for MB」などの提供を行う会社,広告業界の会社,インターネット広告代理店業界の会社,IT業界の会社,Webサービス・アプリ運営業界の会社,Webマーケティング支援・飲食店情報サイト運営・スマートフォンアプリ開発・アフィリエイト広告販売・広告配信サービス運営・動画配信サービス運営・テレビCM制作,BtoC　BtoB,未計算,東京都渋谷区桜丘町２２番１４号Ｎ．Ｅ．Ｓ．ビルＮ棟２階,150-0031,東京都,渋谷区桜丘町２２番１４号Ｎ．Ｅ．Ｓ．ビルＮ棟２階,03-5459-5290,03-5459-5358,-,im20recruit@i-mobile.co.jp
Ｂｏｏｋｉｎｇ．ｃｏｍ　Ｃｏｎｓｕｌｔｉｎｇ　Ｓｅｒｖｉｃｅｓ　Ｊａｐａｎ株式会社,ぶっきんぐどっとこむこんさるてぃんぐさーびすじゃぱん,ジュピター・ツィ,https://www.booking.com/,-,2011001103045,2009年4月,-,未上場,332500000,-,1,220,-,-,-,宿泊施設のオンライン予約サービスを提供する「Booking.com」を運営する会社,IT業界の会社,Webサービス・アプリ運営業界の会社,未分類,未分類,旅行比較・予約サイト（ホテル・航空券等）運営・チケット予約サービス運営,BtoC,未計算,東京都港区北青山３丁目６番１号ｏａｋｏｍｏｔｅｓａｎｄｏ５階,107-0061,東京都,港区北青山３丁目６番１号ｏａｋｏｍｏｔｅｓａｎｄｏ５階,-,-,jp.customer@booking.com,-
ＨＡＲＩＯ株式会社,はりお,柴田匡保,https://www.hario.com/,https://www.hario.com/support/index.html,1050001019488,1999年4月,-,未上場,480000000,-,5,220,1,-,-,ガラス製品の製造や販売を手掛ける会社,製造業界の会社,ガラス製造業界の会社,小売業界の会社,自社型eコマース業界の会社,ガラス製品販売・ガラス食器販売・ガラス容器販売・ガラス製品製造・コーヒー関連器具販売・ガラス容器製造,BtoC　BtoB,未計算,東京都中央区日本橋富沢町９番３号,103-0006,東京都,中央区日本橋富沢町９番３号,03-5614-2101,03-5614-2122,office1@hario.com,-
株式会社マイクロアド,まいくろあど,渡辺健太郎,https://www.microad.co.jp/,https://www.microad.co.jp/contact/,5011001052933,2007年7月,-,未上場,470659800,11200000000,5,220,-,-,-,マーケティングプラットフォーム構築サービスの提供を手掛ける会社,コンサルティング業界の会社,経営コンサルティング業界の会社,コンサルティング業界の会社・その他サービス業界の会社・IT業界の会社,Webマーケティング業界の会社・調査・検査・研究業界の会社・Webサービス・アプリ運営業界の会社,Webマーケティング支援・マーケティング支援,BtoB,未計算,東京都渋谷区神泉町８番１６号,150-0045,東京都,渋谷区神泉町８番１６号,050-1746-3333,03-5428-3144,-,-
株式会社クラフティ,くらふてぃ,風間哲也,https://www.crafty.co.jp/,https://www.crafty.co.jp/contact/,9011101026503,1993年7月,-,未上場,70000000,-,30,220,-,1,12月,OA機器や映像・音響機器のレンタルやリースを行う会社,その他サービス業界の会社,オフィス用品レンタル・リース業界の会社,外食業界の会社・コンサルティング業界の会社・不動産業界の会社・IT業界の会社,カフェ・喫茶店業界の会社・ITコンサルティング業界の会社 ・レンタルスペース業界の会社・Webサービス・アプリ運営業界の会社,ミュージックビデオ制作・撮影スタジオ運営・映像機器レンタル・リース・音響機器レンタル・リース・スタジオレンタル・通信機器レンタル・リース,BtoB　BtoC,未計算,東京都新宿区西新宿２丁目１番１号新宿三井ビル１６Ｆ,163-0416,東京都,新宿区西新宿２丁目１番１号新宿三井ビル１６Ｆ,03-3344-1611,03-3344-1610,info@crafty.co.jp,-
