[検索条件]従業員数：~5・5~10・10~20・20~50・50~300.連絡先の有無：お問い合わせページあり.業界：小売業界の会社・モール型eコマース業界の会社・自社型eコマース業界の会社.地域：東京都.愛知県.大阪府
会社名,会社名ひらがな,代表者名,会社サイト,お問い合わせページ,法人番号,設立年月,役員情報,上場種別,資本金,売上高,事業所数,従業員数,工場数,店舗数,決算月,一言説明,メイン大業界,メイン小業界,サブ大業界,サブ小業界,事業内容キーワード,特徴,マッチ度,本社住所,本社郵便番号,本社住所（都道府県のみ）,本社住所（都道府県除く）,本社電話番号,本社FAX番号,本社メールアドレス,採用メールアドレス
株式会社ニューバランスジャパン,にゅーばらんすじゃぱん,冨田智夫,http://shop.newbalance.jp/shop/,https://shop.newbalance.jp/shop/contact/contact.aspx,8010001053872,1988年12月,-,未上場,178000000,-,1,290,-,39,-,スニーカーやスポーツシューズ、スポーツウェアなどの販売を行う会社,アパレル・美容業界の会社,靴製造・修理業界の会社,小売業界の会社,自社型eコマース業界の会社,靴卸売・スポーツシューズ販売・靴販売,BtoB　BtoC,未計算,東京都千代田区神田神保町１丁目１０５番地,101-0051,東京都,千代田区神田神保町１丁目１０５番地,03-5577-2300,-,cc@newbalance.jp,NBJ_Recruitment@newbalance.com
株式会社関越物産,かんえつぶっさん,白井宏一,http://kan-etsu.com/company/outline/,http://kan-etsu.com/contact/captmail.cgi,4013301002189,1973年12月,-,未上場,-,-,4,290,3,-,-,群馬県産こんにゃく芋を使用したこんにゃくやしらたきの販売を行う会社,食品業界の会社,その他食品業界の会社,小売業界の会社,自社型eコマース業界の会社,こんにゃく販売・寒天製造・こんにゃく製造・こんにゃく卸売・寒天販売,BtoB　BtoC,未計算,東京都豊島区目白５丁目５番２号,171-0031,東京都,豊島区目白５丁目５番２号,03-3952-4151,03-3952-2996,-,-
株式会社ホテルオークラエンタープライズ,ほてるおーくらえんたーぷらいず,正岡久光,http://www.okura-ep.co.jp/index.html,https://ssl.alpha-prm.jp/okura-ep.co.jp/cgi-bin/form.cgi,3010401027613,1973年7月,-,未上場,75000000,8506330000,2,290,-,12,-,中国料理レストラン「桃花林」やバー等の運営を行う会社,外食業界の会社,アジア・エスニック料理業界の会社,小売業界の会社・その他サービス業界の会社・外食業界の会社・エンタメ業界の会社,自社型eコマース業界の会社・その他サービス業界・居酒屋・バー業界の会社・ホテル・旅館業界の会社・洋食・西洋料理業界の会社,缶詰食品製造・焼き菓子（クッキー・マドレーヌ等）販売・焼き菓子（クッキー・マドレーヌ等）製造・インスタント・レトルト食品製造・チョコレート販売・バー・パブ運営・中華料理店運営・インスタント・レトルト食品販売・ホテル運営受託・缶詰食品販売・チョコレート製造,BtoC　BtoB,未計算,東京都港区虎ノ門２丁目１０番４号,105-0001,東京都,港区虎ノ門２丁目１０番４号,03-6441-3001,03-6441-3002,-,general-a@okura-ep.co.jp
株式会社札幌かに本家,さっぽろかにほんけ,日置達郎,https://www.kani-honke.co.jp/,https://www.kani-honke.co.jp/contact.html,3180001030447,1971年9月,-,未上場,46600000,6270000000,-,289,1,14,2月,かに料理専門店「札幌かに本家」などを運営する会社,外食業界の会社,和食・大衆料理業界の会社,小売業界の会社・外食業界の会社,モール型eコマース業界の会社・寿司屋業界の会社,かに販売・回転寿司店運営,BtoC,未計算,愛知県名古屋市中村区名駅南１丁目１７番２０号,450-0003,愛知県,名古屋市中村区名駅南１丁目１７番２０号,052-238-2500,052-238-2510,-,-
株式会社エッサム,えっさむ,前原恵一,http://www.essam.co.jp/,http://www.essam.co.jp/ask_top.html,1010001012182,1963年11月,-,未上場,455000000,4573155000,16,284,-,-,3月,会計事務所向けの事務用品やソフトウェアの開発および販売を行っている会社,生活用品業界の会社,オフィス用品・オフィス家具業界の会社,小売業界の会社・IT業界の会社,モール型eコマース業界の会社・システム開発業界の会社,オフィス用品・事務用品レンタル・リース・複合機レンタル・リース,BtoB,未計算,東京都千代田区神田須田町１丁目２６番３号,101-0041,東京都,千代田区神田須田町１丁目２６番３号,03-3254-8751,03-5256-7802,-,-
森下仁丹株式会社,もりしたじんたん,森下雄司,http://www.jintan.co.jp/,http://www.jintan.co.jp/contact/,8120001077571,1936年11月,"石原真弓[監査役],  澤田侚己[監査役],  高田真一[監査役常勤],  森下雄司[取締役/執行役員カプセル事業本部長],  齋藤洋一[取締役],  上村秀人[取締役],  森下美惠子[取締役/名誉会長],  駒村純一[代表取締役/社長], ",東証２部,3537400000,10103000000,3,281,2,-,3月,「メディケアシリーズ」「仁丹シリーズ」などのヘルスケア用品や医薬品の製造および販売を行う会社,医療・福祉業界の会社,製薬業界の会社,小売業界の会社・アパレル・美容業界の会社・生活用品業界の会社・食品業界の会社,自社型eコマース業界の会社・医薬品販売業界の会社・スキンケア製品製造業界の会社・トイレタリー製造業界の会社・缶詰・レトルト・冷凍食品製造業界の会社・健康食品業界の会社・調味料製造業界の会社,健康食品卸売・健康食品販売・ヘルスケア製品卸売・ドレッシング販売・ドレッシング卸売・ヘルスケア製品製造・健康食品製造・医薬品卸売・飴・キャンディ製造・医薬品製造・ドレッシング製造・飴・キャンディ卸売・ヘルスケア製品販売・スキンケア用品販売・飴・キャンディ販売・インスタント・レトルト食品販売・スキンケア用品卸売・インスタント・レトルト食品卸売,BtoC　BtoB,未計算,大阪府大阪市中央区玉造１丁目２番４０号,540-0004,大阪府,大阪市中央区玉造１丁目２番４０号,06-6761-1131,06-6768-1661,-,-
株式会社山野楽器,やまのがっき,山野政彦,https://www.yamano-music.co.jp/,https://www.yamano-music.co.jp/info/corp_inquiry.html,7010001059219,1915年3月,-,未上場,100000000,-,52,280,-,45,-,楽器や楽譜、CDなどの販売および音楽教室の運営を行う会社,エンタメ業界の会社,CD等マルチメディア・楽器業界の会社,エンタメ業界の会社・小売業界の会社・教育業界,イベント業界の会社・自社型eコマース業界の会社・書籍・マルチメディア販売業界の会社・その他スクール業界の会社,音楽教室（ピアノ、ギター等）運営・弦楽器販売・CD・レコード販売・管楽器販売・楽譜販売・コンサート運営・楽器レンタル・リース・DVD販売・文房具販売・演奏会・コンサート企画・体験教室運営,BtoC,未計算,東京都中央区銀座４丁目５番６号,104-0061,東京都,中央区銀座４丁目５番６号,03-3562-5051,-,-,-
日進畜産工業株式会社,にっしんちくさんこうぎょう,鈴木直人,http://www.nissinham.co.jp/company/index.html,https://ats3.at-smart.ne.jp/~nissin2/company/com_05.html,7010401022189,1935年1月,-,未上場,100000000,5500000000,1,280,-,-,-,高級ハムやソーセージの製造・販売およびスーパーマーケットの運営などを行う会社,食品業界の会社,食肉業界の会社,小売業界の会社・外食業界の会社,スーパーマーケット業界の会社・和食・大衆料理業界の会社・自社型eコマース業界の会社,食肉加工品（ソーセージ・ベーコン・ハム等）販売・食肉加工・食肉加工品（ソーセージ・ベーコン・ハム等）製造,BtoB　BtoC,未計算,東京都港区東麻布２丁目３４番１号,106-0044,東京都,港区東麻布２丁目３４番１号,03-3582-2941,03-3586-2919,info@nissinham.co.jp,jinji@nissinham.co.jp
株式会社桃屋,ももや,小出雄二,https://www.momoya.co.jp,https://www.momoya.co.jp/inquiry/form/,4010001059114,1920年4月,-,未上場,1906670000,12678470000,13,274,2,-,9月,海苔佃煮「ごはんですよ！」をはじめとする壜詰や缶詰などの製造および卸売を行う会社,食品業界の会社,水産業界の会社,食品業界の会社・小売業界の会社,調味料製造業界の会社・缶詰・レトルト・冷凍食品製造業界の会社・自社型eコマース業界の会社・漬物・煮物・大豆製造業界の会社,海苔製品販売・海苔製品卸売・漬物製造・缶詰食品販売・佃煮販売・調味料販売・缶詰食品卸売・漬物販売・佃煮卸売・漬物卸売・佃煮製造・缶詰食品製造・調味料卸売・海苔製品製造,BtoC　BtoB,未計算,東京都中央区日本橋蛎殻町２丁目１６番２号,103-0014,東京都,中央区日本橋蛎殻町２丁目１６番２号,03-3668-5771,03-3669-3087,soumuka@momoya.co.jp,-
養命酒製造株式会社,ようめいしゅせいぞう,塩澤太朗,http://www.yomeishu.co.jp/,http://www.yomeishu.co.jp/inquiry/form.html,2011001024084,1923年6月,-,東証１部,1650000000,10523794000,2,271,3,1,3月,「養命酒」や食品類の製造および各種イベントの運営を行う会社,食品業界の会社,酒・ワイン業界の会社,食品業界の会社・生活用品業界の会社・小売業界の会社・外食業界の会社・エネルギー業界の会社,調味料製造業界の会社・日用品・雑貨販売業界の会社・自社型eコマース業界の会社・化粧品販売業界の会社・健康食品業界の会社・洋食・西洋料理業界の会社・電力業界の会社,調味料卸売・サプリメント卸売・酒類通販・酒類製造・太陽光発電・医薬品製造・サプリメント販売・サプリメント開発・酒類販売・酒類卸売・電気卸売・サプリメント製造,BtoC　BtoB,未計算,東京都渋谷区南平台町１６番２５号,150-8563,東京都,渋谷区南平台町１６番２５号,03-3462-8111,-,-,-
味の浜藤株式会社,あじのはまとう,森口江美子,http://www.hamato.co.jp/,http://www.hamato.co.jp/contact/,6010001036623,1950年4月,-,未上場,50000000,4300000000,7,270,-,36,2月,オリジナルブランド「味の浜藤」などの水産加工食品の製造および販売を行う会社,食品業界の会社,水産業界の会社,小売業界の会社・外食業界の会社,モール型eコマース業界の会社・和食・大衆料理業界の会社,練り製品（ちくわ・かまぼこ等）販売・水産加工品製造・水産加工品販売・切身加工・切身販売,BtoC,未計算,東京都江東区東雲2-12-4,135-0062,東京都,江東区東雲2-12-4,03-3527-8927,03-3527-8928,hamato@hamato.co.jp,saiyo2020@hamato.co.jp
株式会社シロ,しろ,今井浩恵,https://shiro-shiro.jp/,https://shiro-shiro.jp/user_data/select.php?ct=unav,6430001048816,1989年10月,-,未上場,100000000,5650000000,1,270,-,26,6月,スキンケア商品の開発や販売を行う会社,アパレル・美容業界の会社,スキンケア製品製造業界の会社,小売業界の会社,自社型eコマース業界の会社,スキンケア用品製造・化粧品開発・スキンケア用品開発・スキンケア用品販売・化粧品店運営・化粧品販売,BtoC,未計算,東京都港区北青山３丁目６番７号青山パラシオタワー９Ｆ ,107-0061,東京都,港区北青山３丁目６番７号青山パラシオタワー９Ｆ ,03-6805-0220,03-6805-0624,info@shiro-shiro.jp,recruit@shiro-shiro.jp
株式会社ユアペティア,ゆあぺてぃあ,金澤伸幸,https://www.yourpetia.com/,https://www.yourpetia.com/contact/,1012801016230,2015年3月,-,未上場,-,-,1,269,-,30,-,ペット用品専門店「Your Petia」を運営する会社,エンタメ業界の会社,ペット・動物業界の会社,小売業界の会社,自社型eコマース業界の会社,ペットフード販売・ペットサロン（トリミング）運営・動物病院運営・ペットホテル運営・ペット用品・ペットフード輸入・ペットショップ運営・ペット用品販売,BtoC,未計算,東京都国分寺市本町４丁目１２番１号,185-0012,東京都,国分寺市本町４丁目１２番１号,048-480-5880,048-480-5881,info@yourpetia.com,yukari.nakajima@osc.oscgroup.com
太田油脂株式会社,おおたゆし,太田健介,http://www.ohtaoilmill.co.jp/,http://www.ohtaoilmill.co.jp/contact/,4180301000553,1947年4月,-,未上場,45000000,11700000000,2,266,2,-,3月,コーンオイルやえごま油などの油脂を中心に海産物や肥料などの製造および販売を手がける会社,小売業界の会社,モール型eコマース業界の会社,未分類,未分類,バイオ燃料販売・食用油脂（油・バター・ラード等）販売・バイオ燃料製造・肥料販売・油脂製品製造・油脂加工・食用油脂（油・バター・ラード等）製造・グループ会社運営・肥料製造・油脂製造,BtoB　BtoC,未計算,愛知県岡崎市福岡町字下荒追２８番地,444-0825,愛知県,岡崎市福岡町字下荒追２８番地,0564-51-9521,0564-54-3037,-,-
株式会社ニューアート・ラ・パルレ,にゅーあーと・ら・ぱるれ,高橋宗潤,http://www.parler.co.jp,https://www.parler.co.jp/company/inquiry/input,4010001161885,2014年7月,-,未上場,90000000,2676000000,2,266,-,25,3月,エステティックサロン「ラ・パルレ」の運営を行う会社,アパレル・美容業界の会社,エステサロン業界の会社,小売業界の会社・その他サービス業界の会社・食品業界の会社,自社型eコマース業界の会社・美容グッズ販売業界の会社・ブライダル業界の会社・化粧品販売業界の会社・健康食品業界の会社,美容機器・美容器具販売・化粧品販売・健康食品販売・ブライダルサロン運営・脱毛サロン運営,BtoC,未計算,東京都中央区銀座１丁目１５番２号,104-0061,東京都,中央区銀座１丁目１５番２号,03-5579-9195,03-5579-9187,-,parler-recruit@parler.co.jp
名古屋テレビ放送株式会社,なごやてれびほうそう,横井正彦,https://www.nagoyatv.com/,https://www.nagoyatv.com/inquiry/,6180001039048,1961年9月,-,未上場,400000000,24700000000,6,265,-,-,3月,中京広域圏でテレビ放送局「メ～テレ」の運営を行っている会社,マスコミ業界の会社,テレビ・ラジオ放送局業界の会社,マスコミ業界の会社・小売業界の会社,テレビ番組制作業界の会社・自社型eコマース業界の会社,酒類販売・地上波テレビ放送局運営・DVD販売・イベント運営・キャラクター製品販売・グッズ販売,BtoB,未計算,愛知県名古屋市中区橘２丁目１０番１号,460-8311,愛知県,名古屋市中区橘２丁目１０番１号,052-331-8111,-,-,-
株式会社松本義肢製作所,まつもとぎしせいさくしょ,松本芳樹,https://www.pomgs.co.jp/,https://www.pomgs.co.jp/contact/,7180001077674,1960年,-,未上場,20000000,-,5,264,-,-,-,義肢の製造やスポーツ用品の開発および販売を行う会社,医療・福祉業界の会社,介護用品・家庭用医療機器業界の会社,小売業界の会社・アパレル・美容業界の会社,スポーツ用品販売業界の会社・自社型eコマース業界の会社・靴製造・修理業界の会社,義肢製造・福祉用具製造・福祉用具販売・義肢販売・福祉用品販売・スポーツ用品販売,BtoC,未計算,愛知県小牧市大字林２１０番地の３,485-8555,愛知県,小牧市大字林２１０番地の３,0568-47-1701,0568-47-1702,info@pomgs.co.jp,-
株式会社ＭＯＡ,もあ,金南亨,https://www.moa-corp.com/,https://www.moa-corp.com/contact,5010601036742,2004年7月,-,未上場,100000000,32300000000,1,263,1,-,-,総合通販サイト「PREMOA」の運営を手掛ける会社,小売業界の会社,自社型eコマース業界の会社,電気製品業界の会社・生活用品業界の会社,その他電気製品製造業界の会社・日用品・雑貨販売業界の会社,家電販売・酒類販売・スポーツ用品販売・日用品販売,BtoC,未計算,東京都江東区南砂２丁目７番５号,136-0076,東京都,江東区南砂２丁目７番５号,03-5633-8817,03-5633-7933,-,saiyou@premoa.co.jp
株式会社八幡ねじ,やはたねじ,鈴木建吾,https://yht.co.jp/,https://yht.co.jp/contact/,5180001101915,1953年7月,-,未上場,20000000,-,9,260,1,-,-,ねじなどのアッセンブリ部品の製造・卸売を行う会社,製造業界の会社,金属部品製造業界の会社,小売業界の会社,自社型eコマース業界の会社,工具卸売・ボルト卸売・産業機械部品卸売,BtoB,未計算,愛知県北名古屋市山之腰天神東１８番地,481-0036,愛知県,北名古屋市山之腰天神東１８番地,0568-22-2629,0568-24-6525,-,-
株式会社ハルクニック,はるくにっく,-,http://www.herknic.jp/,http://www.herknic.jp/#contact,6120001172374,2012年8月,-,未上場,10000000,1840000000,14,260,-,-,-,ホテル経営や不動産事業を中心に行う会社,エンタメ業界の会社,ホテル・旅館業界の会社,小売業界の会社・不動産業界の会社,モール型eコマース業界の会社・その他不動産管理業界の会社,賃貸管理・マンション管理,BtoC　BtoB,未計算,大阪府茨木市宮島２丁目２番６７号,567-0853,大阪府,茨木市宮島２丁目２番６７号,072-821-0808,072-653-3474,info@herknic.jp,-
株式会社ブールミッシュ,ぶーるみっしゅ,吉田菊次郎,http://www.boulmich.co.jp/top.php,http://www.boulmich.co.jp/contact/,6010001028463,1982年12月,-,未上場,48000000,6574000000,7,260,1,133,6月,フランス菓子店「ブールミッシュ」の運営を行う会社,食品業界の会社,洋菓子業界の会社,食品業界の会社・小売業界の会社・教育業界,その他菓子業界の会社・モール型eコマース業界の会社・その他スクール業界の会社,焼き菓子（クッキー・マドレーヌ等）製造・ギフト・贈答品販売・焼き菓子（クッキー・マドレーヌ等）販売・料理教室運営・洋菓子店運営,BtoC,未計算,東京都中央区銀座１丁目２番３号,104-0061,東京都,中央区銀座１丁目２番３号,03-3563-2775,-,-,hrm@boulmich.co.jp
数研出版株式会社,すうけんしゅっぱん,星野泰也,https://www.chart.co.jp/,https://www.chart.co.jp/inquiry/inquiry.html,7010001020270,1950年,-,未上場,80000000,11200000000,9,258,-,-,-,学習参考書や教科書などの教育図書を出版する会社,マスコミ業界の会社,書籍出版業界の会社,教育業界・マスコミ業界の会社・小売業界の会社,教材業界の会社・電子書籍出版業界の会社・モール型eコマース業界の会社,書籍制作・教材卸売・教材制作・教材企画・教科書出版,BtoC　BtoB,未計算,東京都千代田区神田小川町２丁目３番地３,101-0052,東京都,千代田区神田小川町２丁目３番地３,03-5283-6001,-,-,suken-jinji@suken.co.jp
粧美堂株式会社,しょうびどう,寺田正秀,http://www.sho-bi.jp/,https://www.sho-bi.jp/contact/,4010401097556,1949年12月,"渡辺徹[取締役(監査等委員)],  岡野秀章[取締役(監査等委員)],  酒谷佳弘[取締役(監査等委員)],  脇玲[取締役(監査等委員)],  吉田浩太郎[取締役/商品企画部長兼生産管理担当役員],  鎌形敬史[取締役/管理本部長],  寺田正秀[代表取締役社長],  寺田一郎[取締役会長], ",東証１部,545000000,16691272000,2,258,2,-,9月,化粧雑貨やコンタクトレンズ及び服飾雑貨の企画・製造・販売を行う会社,アパレル・美容業界の会社,化粧品製造業界の会社,生活用品業界の会社・アパレル・美容業界の会社・エンタメ業界の会社・小売業界の会社,眼鏡・コンタクトレンズ製造業界の会社・その他アパレル・美容業界の会社・タレント・キャラクターグッズ業界の会社・自社型eコマース業界の会社,コンタクトレンズ卸売・ギフト・贈答品製造・ストッキング製造・カラーコンタクトレンズ卸売・キャラクター製品卸売・カラーコンタクトレンズ製造・つけまつげ販売・つけまつげ製造・化粧品卸売・つけまつげ卸売・カラーコンタクトレンズ販売・ファッション雑貨卸売・ファッション雑貨製造・雑貨卸売・ギフト・贈答品卸売・キャラクター製品製造・化粧品OEM・財布販売・ストッキング卸売,BtoC　BtoB,未計算,東京都港区港南２丁目１５番１号,108-0075,東京都,港区港南２丁目１５番１号,03-3472-7890,03-3472-7897,-,-
スギ製菓株式会社,すぎせいか,杉浦敏夫,http://www.sugiseika.com/,https://www.sugiseika.com/formmail/,8180301016950,1982年9月,-,未上場,10000000,-,2,257,1,9,-,海鮮せんべいの製造・販売を行う会社,食品業界の会社,その他菓子業界の会社,小売業界の会社,自社型eコマース業界の会社,米菓（せんべい・おかき等）製造・土産物卸売・土産物販売・米菓（せんべい・おかき等）販売・土産物店運営,BtoB　BtoC,未計算,愛知県碧南市大浜上町３丁目８５番地１,447-0857,愛知県,碧南市大浜上町３丁目８５番地１,0566-45-2020,0566-45-2021,takayo@ebisen.com,-
株式会社タカコ,たかこ,荒孝子,http://www.takako-c.jp/index.html,http://www.takako-c.jp/contact.html,8011001064703,-,-,未上場,487775500,11000000000,-,257,-,1,-,ヨーロッパから輸入した子供服を販売する会社,小売業界の会社,キッズアパレルショップ業界の会社,小売業界の会社,モール型eコマース業界の会社・自社型eコマース業界の会社,雨具（傘・カッパ・雨靴等）販売・子供服販売・靴販売,BtoC,未計算,東京都渋谷区渋谷１丁目１－６ＭＦ青山５０１,150-0002,東京都,渋谷区渋谷１丁目１－６ＭＦ青山５０１,03-6803-8472,03-3462-1180,takako-c@nn.iij4u.or.jp,-
株式会社グローバルスタッフ,ぐろーばるすたっふ,三原康司,https://www.globalstaff.co.jp/,https://www.globalstaff.co.jp/contact.html,1011101025784,1998年2月,-,未上場,100000000,-,3,256,-,-,-,新菱グループで人材派遣業務を行う会社,人材業界の会社,事務員・作業員派遣業界の会社,人材業界の会社・小売業界の会社,サービス業人材派遣業界の会社・モール型eコマース業界の会社・製造業・技術系人材派遣業界の会社,販売員派遣・事務員派遣・通訳派遣・求人サイト運営・オペレーター派遣・工事人材派遣,BtoB,未計算,東京都新宿区荒木町１４番地,160-0007,東京都,新宿区荒木町１４番地,03-3357-2124,-,-,-
