[検索条件]連絡先の有無：お問い合わせページあり.業界：小売業界の会社・自社型eコマース業界の会社・モール型eコマース業界の会社.地域：東京都
会社名,会社名ひらがな,代表者名,会社サイト,お問い合わせページ,法人番号,設立年月,役員情報,上場種別,資本金,売上高,事業所数,従業員数,工場数,店舗数,決算月,一言説明,メイン大業界,メイン小業界,サブ大業界,サブ小業界,事業内容キーワード,特徴,マッチ度,本社住所,本社郵便番号,本社住所（都道府県のみ）,本社住所（都道府県除く）,本社電話番号,本社FAX番号,本社メールアドレス,採用メールアドレス
ＳＤＬジャパン株式会社,えすでぃーえるじゃぱん,ドーフジョンクリストファー,https://www.sdl.com/jp,https://www.sdl.com/jp/contact/,3013201007925,1997年,-,未上場,15000000,-,1,3700,-,-,-,機械翻訳サービスの提供ならびに翻訳ソフトの卸売などを行う会社,専門サービス業界の会社,翻訳・通訳業界の会社,小売業界の会社,自社型eコマース業界の会社,翻訳・翻訳ソフト開発・Webシステム開発,BtoB,未計算,東京都目黒区上目黒２丁目１番１号中目黒ＧＴタワー４階,153-0051,東京都,目黒区上目黒２丁目１番１号中目黒ＧＴタワー４階,03-5720-2591,03-5773-1472,sales-jp@sdl.com,recruitment.japan@sdl.com
味の素株式会社,あじのもと,西井孝明,http://www.ajinomoto.co.jp/,https://www.ajinomoto.co.jp/question/?scid=av_ot_pc_cojphead_question,8010001034740,1925年12月,"村上洋[監査役],  土岐敦司[監査役],  橋本正己[監査役],  田中靜夫[常勤監査役],  富樫洋一郎[常勤監査役],  名和高司[取締役],  齋藤泰雄[取締役],  橘・フクシマ・咲江[取締役],  村林誠[取締役常務執行役員],  栃尾雅也[取締役常務執行役員],  木村毅[取締役常務執行役員],  大野弘道[取締役常務執行役員],  福士博司[取締役専務執行役員/アミノサイエンス事業本部長],  高藤悦弘[取締役専務執行役員/食品事業本部長],  五十嵐弘司[取締役専務執行役員],  岩本保[代表取締役副社長執行役員],  西井孝明[代表取締役取締役社長最高経営責任者],  伊藤雅俊[代表取締役取締役会長], ",東証１部,79863000000,216372000000,18,3494,1,-,3月,うま味調味料「味の素」などの調味料や加工食品などの開発・製造・販売を行う会社,食品業界の会社,調味料製造業界の会社,医療・福祉業界の会社・小売業界の会社・食品業界の会社・アパレル・美容業界の会社,製薬業界の会社・自社型eコマース業界の会社・その他食品業界の会社・健康食品業界の会社・缶詰・レトルト・冷凍食品製造業界の会社・スキンケア製品製造業界の会社,化粧品卸売・ヘルスケア製品卸売・サプリメント販売・サプリメント製造・ドレッシング卸売・醤油製造・だし卸売・塩卸売・ソース・たれ製造・健康食品販売・ドレッシング製造・マヨネーズ製造・食品加工・スキンケア用品製造・甘味料製造・食用油脂（油・バター・ラード等）卸売・サプリメント開発・塩製造・冷凍食品製造・食用油脂（油・バター・ラード等）製造・ヘルスケア製品製造・ソース・たれ卸売・マヨネーズ卸売・冷凍食品卸売・だし製造・甘味料卸売・調味料卸売・醤油卸売・スキンケア用品卸売・スキンケア用品販売・健康食品卸売・健康食品製造・サプリメント卸売・化粧品開発・スキンケア用品開発,BtoB　BtoC,未計算,東京都中央区京橋１丁目１５番１号,104-0031,東京都,中央区京橋１丁目１５番１号,03-5250-8111,-,-,-
日本調剤株式会社,にほんちょうざい,三津原博,http://www.nicho.co.jp/,https://www.nicho.co.jp/inquiry/form_1/input/,9010001064753,1980年3月,"長嶋隆[取締役(監査等委員)],  薄金孝太郎[取締役(監査等委員)],  木村金吾[取締役(監査等委員)],  金井久兮[取締役],  藤本佳久[取締役/管理本部長総務部長],  小城和紀[取締役/財務部長],  小柳利幸[取締役/薬剤本部長],  鈴木重夫[取締役/健保・施設推進部長],  宮田徳昭[取締役/営業推進部長],  笠井直人[常務取締役/営業統括部長],  深井克彦[常務取締役/薬剤受託部長],  三津原庸介[常務取締役],  鎌田良樹[常務取締役],  三津原博[代表取締役社長], ",東証１部,3953020000,203623000000,17,3393,-,622,3月,門前薬局や敷地内薬局などの調剤薬局を運営する会社,小売業界の会社,医薬品販売業界の会社,医療・福祉業界の会社・IT業界の会社・小売業界の会社・人材業界の会社・金融業界の会社,調剤薬局業界の会社・システム開発業界の会社・自社型eコマース業界の会社・医療・福祉人材派遣業界の会社・保険代理店業界の会社,生命保険販売・がん保険販売・学資保険販売・イベント企画・介護保険販売・薬剤師派遣・終身保険販売・医療保険販売,BtoB　BtoC,未計算,東京都千代田区丸の内１丁目９番１号,100-6737,東京都,千代田区丸の内１丁目９番１号,03-6810-0800,03-5288-8688,-,-
株式会社ディーエイチシー,でぃーえいちしー,高橋芳枝,https://top.dhc.co.jp/company/jp/index.html,https://top.dhc.co.jp/company/jp/ac.html,4010401018074,1975年,-,未上場,3377290000,108221000000,3,3094,7,229,-,リキッドファンデーションなどの化粧品や健康食品などの開発、製造および販売を行う会社,アパレル・美容業界の会社,化粧品製造業界の会社,アパレル・美容業界の会社・小売業界の会社・医療・福祉業界の会社・マスコミ業界の会社・専門サービス業界の会社・食品業界の会社,レディースアパレルメーカー業界の会社・自社型eコマース業界の会社・製薬業界の会社・書籍出版業界の会社・翻訳・通訳業界の会社・健康食品業界の会社・化粧品販売業界の会社,サプリメント販売・化粧品販売・健康食品製造・健康食品開発・スキンケア用品開発・スキンケア用品販売・化粧品開発・サプリメント開発・スキンケア用品製造・健康食品卸売・医薬品製造・医薬品開発・サプリメント製造・スキンケア用品卸売・健康食品販売・化粧品卸売,BtoC　BtoB,未計算,東京都港区南麻布２丁目７番１号,106-0047,東京都,港区南麻布２丁目７番１号,03-3457-5311,03-3457-5315,-,shinsotsu@dhc.co.jp
株式会社三城,みき,澤田将広,http://www.paris-miki.co.jp,https://inquiry.paris-miki.co.jp/webapp/form/21655_xagb_10/index.do?_ga=2.190094955.1712587173.1581069615-1795258070.1581069615,1010001122485,2009年1月,-,未上場,100000000,50406000000,2,3062,-,668,3月,メガネ専門店チェーン「パリミキ」「メガネの三城」などを運営する会社,小売業界の会社,眼鏡・コンタクトレンズ販売業界の会社,小売業界の会社,自社型eコマース業界の会社,眼鏡販売・コンタクトレンズ販売・補聴器販売・サングラス販売・眼鏡店運営,BtoC,未計算,東京都中央区日本橋室町２丁目４番３号,103-0022,東京都,中央区日本橋室町２丁目４番３号,03-6432-0751,-,-,saiyou@paris-miki.co.jp
株式会社サンドラッグ,さんどらっぐ,貞方宏司,http://www.sundrug.co.jp/,https://www.sundrug.co.jp/contact/index.html,1012401000634,1965年4月,-,東証１部,3931200000,399092000000,37,2978,-,726,3月,ドラッグストアチェーン「サンドラッグ」や、ディスカウントストアの経営を行う会社,小売業界の会社,医薬品販売業界の会社,小売業界の会社・商社業界の会社・食品業界の会社,自社型eコマース業界の会社・化学品・医薬品専門商社業界の会社・その他菓子業界の会社・酒・ワイン業界の会社・化粧品販売業界の会社・健康食品業界の会社,菓子販売・生活用品販売・ドラッグストア運営・医薬品卸売・フランチャイズ運営・酒類販売・健康食品販売,BtoC　BtoB,未計算,東京都府中市若松町１丁目３８番地の１,183-0005,東京都,府中市若松町１丁目３８番地の１,042-369-6211,-,-,jinji@sundrug.co.jp
株式会社宗家源吉兆庵,そうけみなもときっちょうあん,岡田憲明,http://www.kitchoan.co.jp/,https://www.kitchoan.co.jp/enquiry/,5010001122630,2009年1月,-,未上場,45000000,32000000000,-,2500,7,160,-,「花桜桃」などの和菓子の製造および販売を行う会社,食品業界の会社,和菓子業界の会社,食品業界の会社・小売業界の会社,農業界の会社・自社型eコマース業界の会社,果物生産・和菓子店運営・羊羹製造・米菓（せんべい・おかき等）販売・羊羹販売・美術館運営・米菓（せんべい・おかき等）製造,BtoC,未計算,東京都中央区銀座７丁目８番９号,104-0061,東京都,中央区銀座７丁目８番９号,03-5537-5457,-,online@kitchoan.co.jp,iori@kitchoan.co.jp
株式会社アートネイチャー,あーとねいちゃー,五十嵐祥剛,http://www.artnature.co.jp/,https://www.artnature.co.jp/contact_us/,9011001000392,1967年6月,-,東証１部,3667000000,37760000000,3,2308,1,272,3月,3D型取りシステムを用いて計測されたオーダーメイドかつらの販売などを行う会社,小売業界の会社,美容グッズ販売業界の会社,小売業界の会社・食品業界の会社,化粧品販売業界の会社・健康食品業界の会社・自社型eコマース業界の会社,発毛サロン運営・健康食品販売・シャンプー販売・サプリメント販売・かつら・ウィッグ販売・ヘアケア用品販売,BtoC,未計算,東京都渋谷区代々木３丁目４０番７号,151-0053,東京都,渋谷区代々木３丁目４０番７号,03-3379-3688,03-3379-2344,anon@artnature.co.jp,shinsotsu@if.artnature.co.jp
株式会社三徳,さんとく,堀内謙介,http://www.santoku.co.jp/,https://santoku.co.jp/customer_service,6011101007919,1949年4月,-,未上場,48000000,37000000000,1,2100,1,37,2月,スーパーマーケット「三徳」の運営を行う会社,小売業界の会社,スーパーマーケット業界の会社,生活用品業界の会社・小売業界の会社,日用品・雑貨販売業界の会社・自社型eコマース業界の会社,酒類販売・輸入食品販売・日用品販売・生鮮食品販売,BtoC,未計算,東京都新宿区大久保２丁目１番１号,169-0072,東京都,新宿区大久保２丁目１番１号,03-3203-3111,-,-,santoku@access-t.co.jp
ラオックス株式会社,らおっくす,羅怡文,http://www.laox.co.jp/,https://www.laox.co.jp/contact/,7010401099079,1976年9月,"華志松[監査役],  上村明[監査役],  西澤民夫[監査役],  芝正二[監査役(常勤)],  徐??[取締役],  須原伸太郎[取締役],  韓楓[取締役],  蒋勇[取締役],  王哲[取締役],  矢野輝治[取締役/国内事業本部本部長],  羅怡文[代表取締役社長], ",東証２部,22600000000,117900000000,1,2014,-,42,12月,「総合免税店ラオックス」の運営や生活ファッション事業などを手掛ける会社,小売業界の会社,小売店舗・施設業界の会社,生活用品業界の会社・小売業界の会社・電気製品業界の会社・エンタメ業界の会社・アパレル・美容業界の会社,日用品・雑貨販売業界の会社・モール型eコマース業界の会社・家電業界の会社・化粧品販売業界の会社・その他エンタメ業界の会社・靴製造・修理業界の会社,日用品販売・靴販売・ギフト・贈答品販売・複合施設運営・家電販売・カタログ通販・健康食品販売・貿易・靴製造・商業施設開発・インバウンド事業,BtoB　BtoC,未計算,東京都港区芝２丁目７番１７号,105-0014,東京都,港区芝２丁目７番１７号,03-6852-8880,03-6852-8868,-,shinsotsu@laox.co.jp
アシックスジャパン株式会社,あしっくすじゃぱん,小林淳二,http://www.asics.com/jp,https://www2.asics.co.jp/inquiryform/inquiryform.html,2140001088234,2012年9月,-,未上場,90000000,-,9,2000,-,-,-,「アシックス」ブランドのスポーツ用品の販売を行う会社,小売業界の会社,スポーツ用品販売業界の会社,小売業界の会社,自社型eコマース業界の会社,靴販売・スポーツウェア販売・スポーツシューズ販売,BtoB　BtoC,未計算,東京都江東区新砂３丁目１番１８号,136-0075,東京都,江東区新砂３丁目１番１８号,03-6369-8900,03-6369-8902,-,ahq.hr@asics.com
Ｃ－ＴＥＣ株式会社,しーてっく,新倉孝二,https://www.ctec-ltd.com/#top%20page,https://www.ctec-ltd.com/#contact,4011101076940,2016年6月,-,未上場,6000000,-,5,2000,-,-,-,客室清掃やメンテナンスなどを請け負う会社,その他サービス業界の会社,その他清掃業界の会社,小売業界の会社,モール型eコマース業界の会社,衛生設備保守・メンテナンス・定期清掃・客室清掃・ホテル清掃・特殊清掃・洗剤・洗浄剤販売・清掃用品販売,BtoC　BtoB,未計算,東京都新宿区岩戸町１４番地,162-0832,東京都,新宿区岩戸町１４番地,03-3268-5666,-,-,-
タペストリー・ジャパン合同会社,たぺすとりー・じゃぱん,ジョルジョ・サルネ,https://japan.coach.com/features/footer-about-profile_jp-index,https://japan.coach.com/common/CSfClaimForm.jsp,6010403007635,1991年1月,-,未上場,-,-,1,2000,-,196,-,「COACH」ブランド製品の輸入や販売を行う会社,小売業界の会社,輸入雑貨販売業界の会社,小売業界の会社,自社型eコマース業界の会社,皮革製品販売・ジュエリー販売・かばん・バッグ販売・アパレル製品輸入,BtoC,未計算,東京都港区六本木６丁目１０番１号六本木ヒルズ森タワー,106-6119,東京都,港区六本木６丁目１０番１号六本木ヒルズ森タワー,03-6894-2600,-,-,tapestry@saiyou-center.jp
文化シヤッター株式会社,ぶんかしゃったー,潮崎敏彦,http://www.bunka-s.co.jp/,https://www.bunka-s.co.jp/inquiry/form/,3010001088907,1955年4月,"阿部和史[監査役],  藤田昇三[監査役],  上村彰[常勤監査役],  西川秀行[常勤監査役],  飯名隆夫[取締役],  清成忠男[取締役],  大島亨[取締役上席執行役員/住宅建材事業本部長],  茂木哲哉[代表取締役会長],  潮崎敏彦[代表取締役社長執行役員社長],  藤山曉[取締役常務執行役員/営業担当],  矢吹義夫[取締役常務執行役員/製造、設計、工務担当],  久代篤[取締役常務執行役員/東日本事業本部長],  岩部金吾[取締役相談役],  嶋村悦典[取締役上席執行役員/新事業、新商品担当],  小倉博之[取締役上席執行役員/ビル建材事業本部長], ",東証１部,15051000000,118133000000,1,1947,7,320,3月,アルミガレージシャッターなどのシャッター関連製品を中心とした建材関連製品の製造および販売を行う会社,建設・工事業界の会社,金属系建材製造業界の会社,建設・工事業界の会社・小売業界の会社,居住用リフォーム業界の会社・自社型eコマース業界の会社,階段製造・住宅用建材販売・熱絶縁工事（保温・保冷工事等）・シートシャッター製造・止水材製造・手すり卸売・止水材卸売・屋根工事・シャッター取付工事・ドア製造・防災設備卸売・ブロック工事・ドア卸売・防災設備製造・シートシャッター卸売・手すり製造・大工工事・パーティション・パーテーション（間仕切り）卸売・シャッター製造・レンガ工事・建具製造・タイル工事・パーティション・パーテーション（間仕切り）製造・カーテン製造・建具卸売・左官工事・住宅用建材製造・防水工事・エクステリア製品卸売・フェンス卸売・石工事・内装工事・塗装工事・階段卸売・ガラス工事・フェンス製造・エクステリア製品製造・消防設備工事・ステンレス製品製造・シャッター卸売・カーテン卸売・住宅庭工事,BtoC　BtoB,未計算,東京都文京区西片１丁目１７番３号,113-8535,東京都,文京区西片１丁目１７番３号,03-5844-7200,03-5844-7201,-,recru@mail.bunka-s.co.jp
株式会社ニュー・オータニ,にゅー・おーたに,大谷和彦,http://www.newotani.co.jp/,http://www.newotani.co.jp/group/contact.html,8010001013240,1963年7月,-,未上場,3462000000,73582000000,5,1857,-,16,-,「ホテルニューオータニ」の運営などを行う会社,エンタメ業界の会社,ホテル・旅館業界の会社,小売業界の会社,自社型eコマース業界の会社,通信販売・リゾートホテル運営,BtoC,未計算,東京都千代田区紀尾井町４番１号,102-8578,東京都,千代田区紀尾井町４番１号,03-3265-1111,03-3221-2619,-,hr.career@newotani.co.jp
